geometry,density
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.677727999999999,45.00899,0 7.684086,45.00899,0 7.684086,45.013485,0 7.677727999999999,45.013485,0 7.677727999999999,45.00899,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.684086,45.00899,0 7.690443999999999,45.00899,0 7.690443999999999,45.013485,0 7.684086,45.013485,0 7.684086,45.00899,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.690443999999999,45.00899,0 7.696802,45.00899,0 7.696802,45.013485,0 7.690443999999999,45.013485,0 7.690443999999999,45.00899,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.696802,45.00899,0 7.70316,45.00899,0 7.70316,45.013485,0 7.696802,45.013485,0 7.696802,45.00899,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.70316,45.00899,0 7.709517999999999,45.00899,0 7.709517999999999,45.013485,0 7.70316,45.013485,0 7.70316,45.00899,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.709517999999999,45.00899,0 7.715876,45.00899,0 7.715876,45.013485,0 7.709517999999999,45.013485,0 7.709517999999999,45.00899,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.715876,45.00899,0 7.722233999999999,45.00899,0 7.722233999999999,45.013485,0 7.715876,45.013485,0 7.715876,45.00899,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.722233999999999,45.00899,0 7.728592,45.00899,0 7.728592,45.013485,0 7.722233999999999,45.013485,0 7.722233999999999,45.00899,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.728592,45.00899,0 7.7349499999999995,45.00899,0 7.7349499999999995,45.013485,0 7.728592,45.013485,0 7.728592,45.00899,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.7349499999999995,45.00899,0 7.741308,45.00899,0 7.741308,45.013485,0 7.7349499999999995,45.013485,0 7.7349499999999995,45.00899,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.741308,45.00899,0 7.747666,45.00899,0 7.747666,45.013485,0 7.741308,45.013485,0 7.741308,45.00899,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.747666,45.00899,0 7.754023999999999,45.00899,0 7.754023999999999,45.013485,0 7.747666,45.013485,0 7.747666,45.00899,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.754023999999999,45.00899,0 7.760382,45.00899,0 7.760382,45.013485,0 7.754023999999999,45.013485,0 7.754023999999999,45.00899,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
"<Polygon><outerBoundaryIs><LinearRing><coordinates>
7.760382,45.00899,0 7.7667399999999995,45.00899,0 7.7667399999999995,45.013485,0 7.760382,45.013485,0 7.760382,45.00899,0 
</coordinates></LinearRing></outerBoundaryIs></Polygon>",0
